Agency,Agency Division,Budget
HUMAN SERVICES,FAMILY AND COMMUNITY SERVICES,$100 
HUMAN SERVICES,FAMILY AND COMMUNITY SERVICES - SNAP EDUCATION,$100 
HUMAN SERVICES,FCS - CHILD CARE SERVICES,$100 
HUMAN SERVICES,FCS - EMERGENCY SOLUTIONS GRANT,$100 
HUMAN SERVICES,FCS - OP OF FED EMPLOYMENT,$100 
HUMAN SERVICES,FCS - REFUGEE SETTLEMENT SERVICES,$100 
HUMAN SERVICES,FCS - WIC PROGRAM,$100 
HUMAN SERVICES,FCS EMPLOYABILITY DEVELOPMENT SERVICES,$100 
HUMAN SERVICES,FCS INFANT MORTALITY,$100 
HUMAN SERVICES,FOX DEV CENTER,$100 
HUMAN SERVICES,GOMB/DHS INTERAGENCY,$100 
HUMAN SERVICES,HOME SERVICES,$100 
HUMAN SERVICES,IES SUPPORT,$100 
HUMAN SERVICES,IL CTR FOR REHAB & EDUC (SUMMER SCHOOL),$100 
HUMAN SERVICES,IL SCHOOL FOR THE DEAF,$100 
HUMAN SERVICES,IL SCHOOL FOR THE DEAF (HOT LUNCH),$100 
HUMAN SERVICES,IL SCHOOL VISUALLY IMP,$100 
HUMAN SERVICES,INSPECTOR GENERAL,$100 
HUMAN SERVICES,JUVENILE JUSTICE (JJTF),$100 
HUMAN SERVICES,KILEY DEV CENTER,$100 
HUMAN SERVICES,LUDEMAN DEV CENTER,$100 
HUMAN SERVICES,MABLEY DEV CENTER,$100 
HUMAN SERVICES,MADDEN MH CENTER,$100 
HUMAN SERVICES,MANAG INFO SER,$100 
HUMAN SERVICES,MANAG INFO SERV (DMH GRF),$100 
HUMAN SERVICES,"MANAG INFO SERV (DMH MAX, DOST REC)",$100 
HUMAN SERVICES,MCFARLAND MENTAL HEALTH CENTER,$100 
HUMAN SERVICES,MENTAL HEALTH - WILLIAMS SETTLEMENT,$100 
HUMAN SERVICES,MENTAL HEALTH ADMIN,$100 
HUMAN SERVICES,MENTAL HEALTH ADMIN - COLBER CONSENT DECREE,$100 
HUMAN SERVICES,MENTAL HEALTH ADMINISTRATION - ASQ,$100 
HUMAN SERVICES,MENTAL HEALTH C & A,$100 
HUMAN SERVICES,MH ADMIN BLOCK GRANT,$100 
HUMAN SERVICES,MURRAY DEV CENTER,$100 
HUMAN SERVICES,NA HEADSTART COLLABORATION GRANT,$100 
HUMAN SERVICES,PROG ADMIN DIS & BEHAV HEALTH,$100 
HUMAN SERVICES,REHAB SERV BUREAU,$100 
HUMAN SERVICES,REHAB SERVICES BUREAU - VRSSI,$100 
HUMAN SERVICES,SEXUALLY VIOLENT PERSONS PROGRAM,$100 
HUMAN SERVICES,SHAPIRO DEV CENTER,$100 
HUMAN SERVICES,TOBACCO ENFORCEMENT PROGRAM,$100 
IL ARTS COUNCIL,PERSONAL SERVICES,5444593.466
IL ARTS COUNCIL,SUPPLEMENTAL PAYROLL,$100 
IL ARTS COUNCIL,TEMPORARY STAFF,$100 
IL COMMERCE COMMISSION,CHAIRMAN/COMMISSIONERS - PUF,$100 
IL COMMERCE COMMISSION,CHAIRMAN/COMMISSIONERS - TRF,$100 
IL COMMERCE COMMISSION,PUBLIC UTILITIES - PUF,$100 
IL COMMERCE COMMISSION,TRANSPORTATION,$100 
IL COMMUNITY COLLEGE BOARD,ADULT EDUCATION,$100 
IL COMMUNITY COLLEGE BOARD,ALLIED HEALTH,$100 
IL COMMUNITY COLLEGE BOARD,ELECTRONIC DATA PROCESSING,$100 
IL COMMUNITY COLLEGE BOARD,GED GRFIRECT COSTS,$100 
IL COMMUNITY COLLEGE BOARD,ILDS GRANT,$100 
IL COMMUNITY COLLEGE BOARD,PERSONAL SERVICES,4834451.359
IL CRIMINAL JUSTICE INFO AUTH,BULLYING PREVENTION PROGRAMS,$100 
IL CRIMINAL JUSTICE INFO AUTH,CANNABIS REGULATION,$100 
IL CRIMINAL JUSTICE INFO AUTH,COMMUNITY BASED VIOLENCE PREVENTION PROGRAM,$100 
IL CRIMINAL JUSTICE INFO AUTH,CONTRACTUAL PAYROLL CO-OP GRANTS,$100 
IL CRIMINAL JUSTICE INFO AUTH,CONTRACTUAL PAYROLL GR CONT SERV,$100 
IL CRIMINAL JUSTICE INFO AUTH,CO-OP,$100 
IL CRIMINAL JUSTICE INFO AUTH,ELECTRONIC DATA PROCESSING,$100 
IL CRIMINAL JUSTICE INFO AUTH,GENERAL REVENUE FUND,$100 
IL CRIMINAL JUSTICE INFO AUTH,GR CONTRACTUAL PAYROLL,$100 
IL CRIMINAL JUSTICE INFO AUTH,METRO FAMILY SERVICE,$100 
IL CRIMINAL JUSTICE INFO AUTH,NFP,$100 
IL CRIMINAL JUSTICE INFO AUTH,PERSONAL SERVICES,5088614.225
IL CRIMINAL JUSTICE INFO AUTH,PERSONAL SERVICES - GR MATCH,$100 
IL CRIMINAL JUSTICE INFO AUTH,SLEAA,$100 
IL CRIMINAL JUSTICE INFO AUTH,STATE TRAUMA RECOVERY CENTER - CONTRACTUAL,$100 
IL EDUCAT LABOR RELATIONS BD,PERSONAL SERVICES,5233359.502
IL EMERGENCY MANAGEMENT AGCY,ADMINISTRATION - GRF,$100 
IL EMERGENCY MANAGEMENT AGCY,ADMINISTRATION - NSEP,$100 
IL EMERGENCY MANAGEMENT AGCY,ADMINISTRATION - RPF,$100 
IL EMERGENCY MANAGEMENT AGCY,ADMINISTRATION NSEP - DOIT IGA,$100 
IL EMERGENCY MANAGEMENT AGCY,BACK PAY - UNPAID WAGE INCREASES,$100 
IL EMERGENCY MANAGEMENT AGCY,CONTRACTUAL - DRRR - HAZARD MITIGATION,$100 
IL EMERGENCY MANAGEMENT AGCY,DISASTER ASSISTANCE & PREPAREDNESS - HAZARD MITIGATION,$100 
IL EMERGENCY MANAGEMENT AGCY,DISASTER ASSISTANCE & PREPAREDNESS - NSEP,$100 
IL EMERGENCY MANAGEMENT AGCY,ENVIRONMENTAL SAFETY - LLRW,$100 
IL EMERGENCY MANAGEMENT AGCY,ENVIRONMENTAL SAFETY - NSEP,$100 
IL EMERGENCY MANAGEMENT AGCY,FFY14 STIC UASI,$100 
IL EMERGENCY MANAGEMENT AGCY,HOMELAND SECURITY,$100 
IL EMERGENCY MANAGEMENT AGCY,HOMELAND SECURITY - URBAN AREA SECURITY INITIATIVE,$100 
IL EMERGENCY MANAGEMENT AGCY,HOMELAND SECURITY CONTRACTUAL SERVICES,$100 
IL EMERGENCY MANAGEMENT AGCY,OPERATIONS - NSEP,$100 
IL EMERGENCY MANAGEMENT AGCY,RADIATION SAFETY - RPF,$100 
IL INDEPENDENT TAX TRIBUNAL,CHIEF LAW JUDGE,$100 
IL INDEPENDENT TAX TRIBUNAL,TAX TRIBUNAL STAFF,$100 
IL LABOR RELATIONS BOARD,PERSONAL SERVICES,4508475.648
IL LAW ENFORCE TRAIN & STDS BD,CONTRACTUAL SERVICES,140094.4202
IL LAW ENFORCE TRAIN & STDS BD,PERSONAL SERVICES,4579383.245
IL MATH AND SCIENCE ACADEMY,IL MATHEMATICS & ACIENCE ACADEMY (TEACHERS 12M),$100 
IL MATH AND SCIENCE ACADEMY,IL MATHEMATICS & SCIENCE ACADEMY (TEACHERS 10M),$100 
IL MATH AND SCIENCE ACADEMY,IL MATHEMATICS & SCIENCE ACADEMY-INCOME FUND,$100 
IL MATH AND SCIENCE ACADEMY,IMSA SPECIAL PURPOSE TRUST FUND,$100 
IL STATE BOARD OF INVESTMENTS,PERSONAL SERVICES,5085240.871
IL STATE TOLL HIGHWAY AUTH,AFSCME,$100 
IL STATE TOLL HIGHWAY AUTH,DIRECTORS (MONTHLY),$100 
IL STATE TOLL HIGHWAY AUTH,GENERAL OFFICE,$100 
IL STATE TOLL HIGHWAY AUTH,GENERAL OFFICE - LEGAL,$100 
IL STATE TOLL HIGHWAY AUTH,HOURLY EMPLOYEES,$100 
IL STATE TOLL HIGHWAY AUTH,HOURLY TELECOMMUNICATORS,$100 
IL STATE TOLL HIGHWAY AUTH,HOURLY-TOLL COLLECTORS,$100 
IL STATE TOLL HIGHWAY AUTH,TOLL COLLECTORS,$100 
IL STUDENT ASSISTANCE COMM,CONTRACTUAL SERVICES,144003.9258
IL STUDENT ASSISTANCE COMM,EXEC/SLF - CHICAGO,$100 
IL STUDENT ASSISTANCE COMM,EXEC/SLF - DEERFIELD,$100 
IL STUDENT ASSISTANCE COMM,EXEC/SLF - SPRINGFIELD,$100 
IL STUDENT ASSISTANCE COMM,FEDERAL STUDENT INCENTIVE TRUST FUND/CONTRACTUAL,$100 
IL STUDENT ASSISTANCE COMM,GRF ADMINISTRATIVE COSTS,$100 
IL STUDENT ASSISTANCE COMM,GRF AGENCY OPERATIONS,$100 
IL STUDENT ASSISTANCE COMM,GRF OUTREACH/ISACORPS CONTRACTUAL,$100 
IL STUDENT ASSISTANCE COMM,GRF/OUTREACH,$100 
IL STUDENT ASSISTANCE COMM,IDAPP ALL,$100 
IL STUDENT ASSISTANCE COMM,IDAPP PERSONAL SERVICES CONTRACT,$100 
IL STUDENT ASSISTANCE COMM,SLOF/EXTRA HELP,$100 
IL STUDENT ASSISTANCE COMM,THE FEDERAL STUDENT INCENTIVE TRUST FUND,$100 
IL WORKERS' COMPENSATION COMMI,ADMINISTRATION - EXEMPT,$100 
IL WORKERS' COMPENSATION COMMI,ARBITRATORS,$100 
IL WORKERS' COMPENSATION COMMI,CONTRACTUAL PAYROLL,$100 
IL WORKERS' COMPENSATION COMMI,ELECTRONIC DATA PROCESSING - DOIT IGA,$100 
IL WORKERS' COMPENSATION COMMI,INSURANCE COMPLIANCE,$100 
IL WORKERS' COMPENSATION COMMI,MANAGEMENT,$100 
IL WORKERS' COMPENSATION COMMI,SELF INSURERS SECURITY FUND,$100 
ILLINOIS GAMING BOARD,ADMINISTRATION - RB,$100 
ILLINOIS GAMING BOARD,AUDIT/FINANCE - RB,$100 
ILLINOIS GAMING BOARD,AUDIT/FINANCE - VG,$100 
ILLINOIS GAMING BOARD,BOARD MEMBERS (PER DIEM)-SGF,$100 
ILLINOIS GAMING BOARD,DOIT - IGA,$100 
ILLINOIS GAMING BOARD,ENFORCEMENT - RB,$100 
ILLINOIS GAMING BOARD,ENFORCEMENT - VG,$100 
ILLINOIS GAMING BOARD,FISCAL/ADMIN - RB,$100 
ILLINOIS GAMING BOARD,FISCAL/ADMIN - VG,$100 
ILLINOIS GAMING BOARD,IDOR - CODE,$100 
ILLINOIS GAMING BOARD,INVESTIGATIONS - RB,$100 
ILLINOIS GAMING BOARD,INVESTIGATIONS - VG,$100 
ILLINOIS GAMING BOARD,ISP CONTRACTUAL - PERM SGF,$100 
ILLINOIS GAMING BOARD,LEGAL - RB,$100 
ILLINOIS GAMING BOARD,LEGAL - VG,$100 
ILLINOIS GAMING BOARD,OVERSIGHT - REGULATION OF GAMING,$100 
ILLINOIS POWER AGENCY,ADMINISTRATIVE OPERATIONS GRF-LS,$100 
INNOVATION AND TECHNOLOGY,DOIT - TMRF,$100 
INNOVATION AND TECHNOLOGY,DOIT - TMRF (CONTRACTUAL),$100 
INNOVATION AND TECHNOLOGY,DOIT - TMRF (SURS),$100 
INNOVATION AND TECHNOLOGY,DOIT INTERAGENCY,$100 
INNOVATION AND TECHNOLOGY,GRF BACK PAY - UNPAID WAGE INCREASES,$100 
INNOVATION AND TECHNOLOGY,TMRF,$100 
INSURANCE,ENFORCEMENT & CONSUMER PROTECTION,$100 
INSURANCE,FINANCIAL REGULATION,$100 
INSURANCE,PRODUCER ADMINISTRATION,$100 
INSURANCE,PRODUCER ADMINISTRATION FUND,$100 
INSURANCE,PUBLIC PENSION REGULATION,$100 
INSURANCE,WORKERS COMPENSATION FRAUD,$100 
JUVENILE JUSTICE,AFTER CARE SERVICES,$100 
JUVENILE JUSTICE,BACK PAY - UNPAID WAGE INCREASES FY16-FY18,$100 
JUVENILE JUSTICE,CONTRACTUAL SERVICES,136843.9615
JUVENILE JUSTICE,GENERAL OFFICE,$100 
JUVENILE JUSTICE,GENERAL OFFICE - SCHOOL DISTRICT CONTRACTUAL,$100 
JUVENILE JUSTICE,IYC CHICAGO,$100 
JUVENILE JUSTICE,IYC HARRISBURG,$100 
JUVENILE JUSTICE,IYC PERE MARQUETTE,$100 
JUVENILE JUSTICE,IYC ST CHARLES,$100 
JUVENILE JUSTICE,IYC WARRENVILLE,$100 
JUVENILE JUSTICE,OMBUDSMAN PROGRAM,$100 
JUVENILE JUSTICE,SCHOOL DIST GRANT,$100 
JUVENILE JUSTICE,SCHOOL DISTRICT,$100 
LABOR,CARNIVAL & AMUSEMENT SAFETY,$100 
LABOR,CHILD DAY AND TEMP LABOR ENF,$100 
LABOR,CONTRACTUAL PAYROLL,$100 
LABOR,GENERAL OFFICE - E D P,$100 
LABOR,GENERAL REVENUE,$100 
LABOR,OSHA CONSULTATION STATE MATCH - GRF,$100 
LABOR,OSHA ENFORCEMENT STATE MATCH - GRF,$100 
LIEUTENANT GOVERNOR,CONTRACTUAL SERVICES,147331.6203
LIEUTENANT GOVERNOR,GENERAL OFFICE,$100 
LIQUOR CONTROL COMM,ILCC - BASSET PROGRAM,$100 
LIQUOR CONTROL COMM,ILCC - GENERAL OFFICES,$100 
LIQUOR CONTROL COMM,ILCC - UNDERAGE COMPLIANCE CONTRACTUAL,$100 
LIQUOR CONTROL COMM,STIPENDS,$100 
MILITARY AFFAIRS,BACK PAY - UNPAID WAGE INCREASES FY19,$100 
MILITARY AFFAIRS,FEDERAL SUPPORT AGREEMENT - REVOLVING FUND,$100 
MILITARY AFFAIRS,FEDERAL SUPPORT AGREEMENT REVOLVING FUND/CONTRACTUAL,$100 
MILITARY AFFAIRS,ILNG BILLETING FUND,$100 
MILITARY AFFAIRS,OFFICE OF THE ADJUTANT GENERAL - CONTRACTUAL SERVICES,$100 
MILITARY AFFAIRS,OFFICE OF THE ADJUTANT GENERAL - LINCOLN'S CHALLENGE,$100 
MILITARY AFFAIRS,PERSONAL SERVICES,4885450.391
NATURAL RESOURCES,AGGREG OPS REG - AORF,$100 
NATURAL RESOURCES,AMLR COUNCIL,$100 
NATURAL RESOURCES,ASIAN CARP PROJECT,$100 
NATURAL RESOURCES,BACK PAY - UNPAID WAGE INCREASES,$100 
NATURAL RESOURCES,BIKEWAYS O & M - PC,$100 
NATURAL RESOURCES,BUSINESS SERVICES - WATERCRAFT TITLING,$100 
NATURAL RESOURCES,COAL MINING REG - CMR,$100 
NATURAL RESOURCES,COASTAL ZONE MGT - NOAA,$100 
NATURAL RESOURCES,CONTRACTUAL SERVICES,137005.2892
NATURAL RESOURCES,DOWR - CAPITAL OPERATIONS,$100 
NATURAL RESOURCES,DOWR - DAM SAFETY,$100 
NATURAL RESOURCES,DOWR - FLOOD INSURANCE,$100 
NATURAL RESOURCES,DOWR - GRF,$100 
NATURAL RESOURCES,EXPLOSIVE REGULATION - ERF,$100 
NATURAL RESOURCES,GENERAL OFFICE - AML,$100 
NATURAL RESOURCES,GENERAL OFFICE - GRF,$100 
NATURAL RESOURCES,GENERAL OFFICE - GRF CONTRACTUAL,$100 
NATURAL RESOURCES,GENERAL OFFICE - LRD INDIRECTS,$100 
NATURAL RESOURCES,GENERAL OFFICE - URCE,$100 
NATURAL RESOURCES,GRANT MANAGEMENT & ASSISTANCE - OSLAD,$100 
NATURAL RESOURCES,GRANT MANAGEMENT & ASSISTANCE-WF,$100 
NATURAL RESOURCES,GREAT LAKES RESTORATION - US EPA,$100 
NATURAL RESOURCES,GRF - CAMPGROUND HOSTS - CONTRACTUAL,$100 
NATURAL RESOURCES,LAND MANAGEMENT - FARM LEASE OPS - WF,$100 
NATURAL RESOURCES,LAND MANAGEMENT - REGULAR GRF,$100 
NATURAL RESOURCES,LAND MANAGEMENT CONSERVATION WORKERS,$100 
NATURAL RESOURCES,LAND MGMT & HISTORIC SITES - TP - CONTRACTUAL,$100 
NATURAL RESOURCES,LAND MGMT/HISTORIC SITES - PC,$100 
NATURAL RESOURCES,LAND MGMT/HISTORIC SITES - TOURISM PROMO,$100 
NATURAL RESOURCES,LAW ENFORCEMENT - GRF,$100 
NATURAL RESOURCES,MINES & MINERALS - GRF,$100 
NATURAL RESOURCES,MINES & MINERALS - LRD INDIRECTS,$100 
NATURAL RESOURCES,MM CMR SUPPLEMENTAL,$100 
NATURAL RESOURCES,MUSEUMS GRF NON-CODE,$100 
NATURAL RESOURCES,NATURAL AREA LUMP-NAA,$100 
NATURAL RESOURCES,OFFICE OF GRANT MANAGEMENT & ASSISTANCE,$100 
NATURAL RESOURCES,OFFICE OF REALTY & CAP PLANING-PC,$100 
NATURAL RESOURCES,OFFICE OF REALTY & CAP PLANNING - PARTNERS,$100 
NATURAL RESOURCES,OFFICE OF REALTY & CAP PLANNING - SP,$100 
NATURAL RESOURCES,OFFICE OF REALTY & CAP PLANNING - WF,$100 
NATURAL RESOURCES,OFFICE OF REALTY & CAP PLANNING- OSLAD,$100 
NATURAL RESOURCES,OFFICE OF REALTY & CAP PLANNING-BIKE,$100 
NATURAL RESOURCES,OFFICE OF REALTY & CAP PLANNING-DREDGE CREW-SBA,$100 
NATURAL RESOURCES,OFFICE OF REALTY & CAP PLANNING-DREDGE CREW-W&F,$100 
NATURAL RESOURCES,OFFICE OF REALTY & CAPITAL PLANNING,$100 
NATURAL RESOURCES,OIL & GAS - P & R,$100 
NATURAL RESOURCES,OIL & GAS - REGULAR GRF,$100 
NATURAL RESOURCES,OIL & GAS - URCE,$100 
NATURAL RESOURCES,ORC - CONSERVE 2000 PROG,$100 
NATURAL RESOURCES,PC-CAMPGROUND HOSTS-CONTRACTUAL,$100 
NATURAL RESOURCES,REALTY & CAP PLANNING - CONTRACTUAL,$100 
NATURAL RESOURCES,REALTY & CAPITAL PLANNING/TPF PRESERVATION SERVICES,$100 
NATURAL RESOURCES,REGULAR - FSMC,$100 
NATURAL RESOURCES,REGULAR - NAA,$100 
NATURAL RESOURCES,REGULAR - PC,$100 
NATURAL RESOURCES,REGULAR - SALMON,$100 
NATURAL RESOURCES,REGULAR - SBA,$100 
NATURAL RESOURCES,REGULAR - SP,$100 
NATURAL RESOURCES,REGULAR - W & F,$100 
NATURAL RESOURCES,REGULAR POSITIONS - BA,$100 
NATURAL RESOURCES,REGULAR POSITIONS - SP,$100 
NATURAL RESOURCES,REGULAR POSITIONS - W & F,$100 
NATURAL RESOURCES,RESOURCE CONS - NP COMM,$100 
NATURAL RESOURCES,RESOURCE CONSERVATION-FISHERIES MANAGEMENT FUND,$100 
NATURAL RESOURCES,STIPENDS,$100 
NATURAL RESOURCES,STRATEGIC SERVICES - GRF,$100 
NATURAL RESOURCES,URBAN FISHING - W & F,$100 
NATURAL RESOURCES,URBAN FORESTRY-FD,$100 
NATURAL RESOURCES,WSC SPARTA,$100 
OFFICE OF INSPECTOR GENERAL,OEIG PUBLIC TRANSPORTATION FUNDS,$100 
OFFICE OF INSPECTOR GENERAL,PAYROLL SERVICES,$100 
OFFICE OF THE STATE FIRE MARSH,ABOVEGROUND STORAGE,$100 
OFFICE OF THE STATE FIRE MARSH,CONTRACTUAL SERVICES,130607.8131
OFFICE OF THE STATE FIRE MARSH,PERSONAL SERVICES - ARSON INVESTIGATION,$100 
OFFICE OF THE STATE FIRE MARSH,PERSONAL SERVICES - FIRE PREVENTION,$100 
PRISONER REVIEW BOARD,CONTRACTUAL SERVICES,146010.8674
PRISONER REVIEW BOARD,GRANTS MISC (IGA),$100 
PRISONER REVIEW BOARD,PERSONAL SERVICES,4856451.125
PRISONER REVIEW BOARD,PERSONAL SERVICES NON BARGAINING,$100 
PROCUREMENT POLICY BOARD,OPERATIONS DIVISION,$100 
PROPERTY TAX APPEAL BOARD,PERSONAL SERVICES,4705013.731
PUBLIC HEALTH,ACCOUNTING SERVICES - METABOLIC,$100 
PUBLIC HEALTH,ADVERSE HLTH CARE EVENTS REPT,$100 
PUBLIC HEALTH,AIDS/HIV,$100 
PUBLIC HEALTH,AIDS/HIV - AIDS DRUG ASSISTANCE PROGRAM,$100 
PUBLIC HEALTH,AIDS/HIV - PREVENTION,$100 
PUBLIC HEALTH,AIDS/HIV - RYAN WHITE CARE,$100 
PUBLIC HEALTH,"AIDS/HIV -EDUC., SERVICES & CTRPN",$100 
PUBLIC HEALTH,AIDS/HIV SURVEILLANCE PROGRAMS,$100 
PUBLIC HEALTH,ASSISTED LIVING,$100 
PUBLIC HEALTH,ASTHMA PREVENTION,$100 
PUBLIC HEALTH,BACK PAY - UNPAID WAGE INCREASES,$100 
PUBLIC HEALTH,BACK PAY - UNPAID WAGE INCREASES OPS LUMP SUM,$100 
PUBLIC HEALTH,BIOTERRORISM - A - PLANNING,$100 
PUBLIC HEALTH,BIOTERRORISM - HRSA - HOSPITAL PREP,$100 
PUBLIC HEALTH,BREAST & CERVICAL CANCER,$100 
PUBLIC HEALTH,BREAST AND CERVICAL CANCER SCREENING,$100 
PUBLIC HEALTH,CARA - ADDRESSING OPIOID CRISIS,$100 
PUBLIC HEALTH,CARBONDALE LABORATORY,$100 
PUBLIC HEALTH,CHICAGO LABORATORY,$100 
PUBLIC HEALTH,CHILDHOOD LEAD POISONING,$100 
PUBLIC HEALTH,CITIES REDINESS INITIATIVE,$100 
PUBLIC HEALTH,COMPREHENSIVE CANCER,$100 
PUBLIC HEALTH,CORE STATE VIOLENCE AND INJURY PREVENTION,$100 
PUBLIC HEALTH,DIABETES,$100 
PUBLIC HEALTH,DIABETES RESEARCH & TREATMENT,$100 
PUBLIC HEALTH,DIRECTOR'S OFFICE,$100 
PUBLIC HEALTH,E & HSD - BIRTH DEFECTS SURVEILLANCE,$100 
PUBLIC HEALTH,E & HSD - CANCER REGISTRIES,$100 
PUBLIC HEALTH,E & HSD APORS,$100 
PUBLIC HEALTH,E & HSD OCCUPATIONAL SAFETY SURVEY,$100 
PUBLIC HEALTH,E & HSD-NEEDS ASSESSMENT,$100 
PUBLIC HEALTH,ELC HAI DPS,$100 
PUBLIC HEALTH,EMERGENCY MEDICAL SERVICES,$100 
PUBLIC HEALTH,EMERGENCY PUBLIC HEALTH,$100 
PUBLIC HEALTH,ENVIR HEALTH - ENVIR HLTH SURVEILLANCE,$100 
PUBLIC HEALTH,ENVIR HLTH-SCHOOL ASBESTOS FUND,$100 
PUBLIC HEALTH,ENVIR. HEALTH-LEAD ABATEMENT,$100 
PUBLIC HEALTH,ENVIRONMENTAL HEALTH - PESTICIDE FUND,$100 
PUBLIC HEALTH,ENVIRONMENTAL HEALTH-VECTOR CONTROL,$100 
PUBLIC HEALTH,EPA SAFE DRINKING WATER,$100 
PUBLIC HEALTH,EPIDEMIOLOCY & HEALTH SYSTEMS DEV,$100 
PUBLIC HEALTH,FD&D TANNING FACILITIES,$100 
PUBLIC HEALTH,FINANCE AND ADMINISTRATION,$100 
PUBLIC HEALTH,HCR - HLTH FACIL PLAN REVIEW,$100 
PUBLIC HEALTH,HCR-LONG TERM CARE MONITOR/RECIEVER,$100 
PUBLIC HEALTH,HEALTH CARE REGULATION,$100 
PUBLIC HEALTH,HEALTH CARE REGULATION - MEDICARE,$100 
PUBLIC HEALTH,HEALTH FACILITIES PLANNING,$100 
PUBLIC HEALTH,HEALTH FACILITIES PLANNING BOARD,$100 
PUBLIC HEALTH,HEALTH PROMOTION,$100 
PUBLIC HEALTH,HEALTH PROTECTION,$100 
PUBLIC HEALTH,HEALTH PROTECTION-PLUMBING,$100 
PUBLIC HEALTH,HEALTHY SMILES,$100 
PUBLIC HEALTH,HEARINGS REVIEW,$100 
PUBLIC HEALTH,HEART DISEASE,$100 
PUBLIC HEALTH,HOME CARE SERVICES LICENSURE,$100 
PUBLIC HEALTH,HOSPITAL LICENSURE,$100 
PUBLIC HEALTH,HPT OPIOID CO - AG,$100 
PUBLIC HEALTH,IDENTIFIED OFFENDERS,$100 
PUBLIC HEALTH,ILLINOIS STATE CANCER REGISTRY,$100 
PUBLIC HEALTH,IMMUNIZATION PROGRAM,$100 
PUBLIC HEALTH,INFECTIOUS DISEASE - IMMUNIZATION,$100 
PUBLIC HEALTH,INFECTIOUS DISEASE - STD,$100 
PUBLIC HEALTH,INFECTIOUS DISEASE - TUBERCULOSIS,$100 
PUBLIC HEALTH,INFORMATION TECHNOLOGY,$100 
PUBLIC HEALTH,IT - CHILDHOOD VACCINATION,$100 
PUBLIC HEALTH,IT - ELECTRONIC DEATH CERTIFICATE,$100 
PUBLIC HEALTH,LABORATORIES - TUBERCULOSIS,$100 
PUBLIC HEALTH,LABORATORIES-LEAD SCREENING,$100 
PUBLIC HEALTH,LABORATORY - METABOLIC,$100 
PUBLIC HEALTH,LABS - AFFORDABLE CARE ACT,$100 
PUBLIC HEALTH,MANUFACTURED FOOD REGULATORY PROGRAM,$100 
PUBLIC HEALTH,MANUFACTURED HOME PROGRAM,$100 
PUBLIC HEALTH,MATERNAL AND CHILD HEALTH TITLE V,$100 
PUBLIC HEALTH,MEDICAL CANNABIS,$100 
PUBLIC HEALTH,METABOLIC SCREENING,$100 
PUBLIC HEALTH,MORBIDITY AND RISK BEHAVIOR,$100 
PUBLIC HEALTH,NURSING SCHOLARSHIP FUND,$100 
PUBLIC HEALTH,OHP - AFFORDABLE CARE ACT,$100 
PUBLIC HEALTH,OPIOID OVERDOSE PREVENTION LUMP SUM,$100 
PUBLIC HEALTH,OPPS DPSQ OPIOID CO - AG,$100 
PUBLIC HEALTH,ORAL HEALTH WORKFORCE ACTIVITIES,$100 
PUBLIC HEALTH,PATIENT SAFETY DISCHARGE DATA,$100 
PUBLIC HEALTH,PHHS BLOCK,$100 
PUBLIC HEALTH,PRAMS,$100 
PUBLIC HEALTH,PRIVATE SEWAGE DISPOSAL,$100 
PUBLIC HEALTH,PUBLIC HEALTH LABS,$100 
PUBLIC HEALTH,RAPID INVESTIGATION & CONTROL,$100 
PUBLIC HEALTH,REIMBURSABLE LAB SERVICES,$100 
PUBLIC HEALTH,RURAL HEALTH - PRIMARY HLTH CARE,$100 
PUBLIC HEALTH,RURAL HEALTH - RECRUITMENT,$100 
PUBLIC HEALTH,RYAN WHITE THIRD PARTY REIMBURSEMENTS,$100 
PUBLIC HEALTH,SERVE ILLINOIS FEDERAL,$100 
PUBLIC HEALTH,SERVE ILLINOIS GRF,$100 
PUBLIC HEALTH,SOCIAL SECURITY BIRTH ENUMERATION,$100 
PUBLIC HEALTH,SPECIAL PROJECTS,$100 
PUBLIC HEALTH,SPRINGFIELD LABORATORY,$100 
PUBLIC HEALTH,TATTOO ESTABLISHMENT REGISTRATION,$100 
PUBLIC HEALTH,TOBACCO PREVENTION & CONTROL,$100 
PUBLIC HEALTH,VOLUNTARY NATIONAL RETAIL FOOD REGULATORY,$100 
PUBLIC HEALTH,WOMEN'S HEALTH PROMOTION,$100 
PUBLIC HEALTH,WOMEN'S HELATH,$100 
RACING BOARD,APPOINTEES - PERMANENT - HRF,$100 
RACING BOARD,APPOINTEES SUPERVISION - PERMANENT - HRF,$100 
RACING BOARD,BACK PAY - UNPAID WAGE INCREASES - FY16-FY18,$100 
RACING BOARD,EXECUTIVE CONSULATANT - CONTRACTAUL,$100 
RACING BOARD,PERSONAL SERVICES CODED - PERMANENT - HRF,$100 
RACING BOARD,PERSONAL SERVICES NON-CODED - PERMANENT - HRF,$100 
REVENUE,ACCOUNT PROCESSING-DRY CLEANERS-PERMANENT-TCAF,$100 
REVENUE,ACCOUNT PROCESSING-MISCELLANEOUS TAXES-PERMANENT-GRF,$100 
REVENUE,ACCOUNT PROCESSING-MISCELLANEOUS TAXES-PERMANENT-MFT,$100 
REVENUE,ACCOUNT PROCESSING-MISCELLANEOUS TAXES-PERMANENT-PPRT,$100 
REVENUE,ACCOUNT PROCESSING-MISCELLANEOUS TAXES-PERMANENT-TCAF,$100 
